CLASSICS 1A03 - Introduction to Classical Archaeology,"CLASSICS 1A03 - Introduction to Classical Archaeology
3 unit(s)
A study of the history and methodology of Greek and Roman archaeology illustrated with materials from excavated sites.
Three lectures; one term"
CLASSICS 1B03 - An Introduction to Ancient Myth and Literature,"CLASSICS 1B03 - An Introduction to Ancient Myth and Literature
3 unit(s)
A study of Greek and Roman mythology and literature. Texts such as Homer, Virgil and Greek tragedies will be read in translation.
Two lectures, one tutorial; one term"
CLASSICS 1M03 - History of Greece and Rome,"CLASSICS 1M03 - History of Greece and Rome
3 unit(s)
The history of Greece and Rome from the bronze age to the fall of Rome based on literary, documentary and archaeological evidence.
Two lectures, one tutorial; one term
Cross-list(s): HISTORY 1M03"
CLASSICS 2B03 - Greek Art,"CLASSICS 2B03 - Greek Art
3 unit(s)
The architecture, sculpture and painting of the Greek and Hellenistic world.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Cross-list(s): ARTHIST 2B03 "
CLASSICS 2C03 - Roman Art,"CLASSICS 2C03 - Roman Art
3 unit(s)
The architecture, sculpture, and painting of the Roman world.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Cross-list(s): ARTHIST 2C03 "
CLASSICS 2D03 - Greek and Roman Mythology,"CLASSICS 2D03 - Greek and Roman Mythology
3 unit(s)
A study of the myths of Greek and Roman gods and heroes, their explanation according to theories on the nature of myths, and their use by Greek and Roman authors, particularly Homer and Virgil.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Offered on rotation."
CLASSICS 2E03 - The Ancient World in Film,"CLASSICS 2E03 - The Ancient World in Film
3 unit(s)
The emphasis is on myth (Amazons, Hercules) and history (slave revolts, banquets, decadent emperors), studied via Greek and Latin accounts (in translation) and cinematic versions (e.g. Electra, Medea, Mighty Aphrodite, Apocalypse Now, Spartacus, I Claudius).
Two lectures, plus one weekly film screening; one term
Prerequisite(s): Registration in Level II or above of any program
Antirequisite(s): CMST 2Y03, THTRFLM 2G03
Offered on rotation."
"CLASSICS 2HA3 - Athens and Sparta: Democracy, Oligarchy, and War","CLASSICS 2HA3 - Athens and Sparta: Democracy, Oligarchy, and War
3 unit(s)
The Classical period of Ancient Greece will be examined from the perspective of its two great rival states, Athens and Sparta, with attention to their rival political and social systems, contrasting cultures, and the generation-long war they fought.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Antirequisite(s): CLASSICS 2LA3
Alternates with CLASSICS 2HB3"
CLASSICS 2HB3 - From Alexander to Cleopatra: Cosmopolis and Empire,"CLASSICS 2HB3 - From Alexander to Cleopatra: Cosmopolis and Empire
3 unit(s)
The Hellenistic period of Ancient Greece, examining Alexanders conquests; Seleucid Asia, Antigonid Macedon, Ptolemaic Egypt; dynastic and imperial power struggles; cosmopolitanism and colonialism; Greek and indigenous cultures; science and philosophy; and the triumph of Rome.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Alternates with CLASSICS 2HA3."
CLASSICS 2HC3 - Caesar and the Rise of Autocracy,"CLASSICS 2HC3 - Caesar and the Rise of Autocracy
3 unit(s)
This course will consider the growth of Roman power in the Mediterranean, the stresses that this put on Roman institutions, and how the crises that brought an end to the Republic led to the dictatorship of Gaius Julius Caesar and set the stage for autocratic regimes to come.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Alternates with CLASSICS 2HD3."
"CLASSICS 2HD3 - Nero, Decadence, and the End of a Dynasty","CLASSICS 2HD3 - Nero, Decadence, and the End of a Dynasty
3 unit(s)
The last of the Julio-Claudian emperors, Nero, became notorious for his capriciousness and extravagance. How much of this was myth and how much reality? This course will consider the evolution of the Roman system under the Julio-Claudians and place Nero in his political, economic, and ideological contexts.
Three lectures; one term
Prerequisite(s): Registration in Level II or above of any program
Alternates with CLASSICS 2HC3"
